program_id,course_title,url,learning_objective,max_similarity,best_match_content,is_covered
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Systems and Application Security,0.30846542,Security Strategies for Endpoints,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Course 7 - Systems and Application Security,0.2997461,Security Strategies for Endpoints,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,This is the seventh course under the specialization SSCP.,0.07698066,Endpoints,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,This course discusses two major changes in recent years to how we use our data: going mobile and using the cloud.,0.15899359,Virtualization Attacks,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,"First, we use our data on the go by means of data services provided to our mobile phones, Wi-Fi, and other devices.",0.06567298,Application of Defined Controls for Personally Identifiable Information,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,"Second, so many of the enhanced functions we take for granted in our daily personal and professional lives are made possible by cloud services, where our data is stored or processed.",0.07601491,Virtualization Attacks,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,"Course 7 Learning Objectives After completing this course, the participant will be able to: - Classify different types of malware.",0.25579494,Malware Attackers,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Determine how to implement malware countermeasures.,0.4913311,Malware Attackers,True
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Identify various types of malicious activities.,0.22567807,Security Strategies for Endpoints,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Develop strategies for mitigating malicious activities.,0.50403583,Security Strategies for Endpoints,True
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Describe various social engineering methods used by attackers.,0.42479363,Security Strategies for Endpoints,True
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Explain the role of behavior analytics technologies in detecting and mitigating threats.,0.44145453,"Threats, Attacks, and Countermeasures",True
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,"Explain the role and functionality of host-based intrusion prevention system (HIPS), host-based intrusion detection system (HIDS), and host-based firewalls.",0.21891825,Malware Attackers,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Evaluate the benefits of application whitelisting in endpoint device security.,0.3978546,Security Strategies for Endpoints,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Explain the concept of endpoint encryption and its role in endpoint security.,0.4032626,Security Strategies for Endpoints,True
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Describe the role and functionality of Trusted Platform Module (TPM) technology in providing hardware-based security features.,0.2748199,Security Strategies for Endpoints,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Identify the steps in implementing secure browsing practices using digital certificates and secure communication protocols.,0.29282477,Security Strategies for Endpoints,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,"Explain the concept of endpoint detection and response (EDR) and its role in providing real-time monitoring, detection, investigation, and response capabilities to identify and mitigate advanced threats and security incidents on endpoint devices.",0.280971,"Threats, Attacks, and Countermeasures",False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Identify provisioning techniques for mobile devices.,0.38833952,Security Strategies for Endpoints,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Explain the concept of containerization and how it contributes to effective mobile device management.,0.21748011,Security Strategies for Endpoints,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Explain how encryption contributes to effective mobile device management.,0.3218231,Security Strategies for Endpoints,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Describe the process of Mobile Application Management (MAM) to effectively manage the life cycle of mobile applications.,0.19377336,Application of Defined Controls for Personally Identifiable Information,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,"Distinguish among public, private, hybrid, and community deployment models in cloud security.",0.20258076,Virtualization Attacks,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Distinguish among various service models and their impact on cloud security practices.,0.30266294,Security Strategies for Endpoints,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Describe virtualization technologies and their role in maintaining cloud security.,0.45959803,Virtualization Attacks,True
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Identify legal and regulatory concerns related to cloud security.,0.32189274,Essential Requirements in P&DP Laws,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,"Determine strategies to implement data storage, processing, and transmission while maintaining cloud security.",0.39986348,Security Strategies for Endpoints,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Explain the requirements and considerations associated with third-party services and outsourcing in cloud storage.,0.20563976,Security Strategies for Endpoints,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Explain the concept of the shared responsibility model in cloud storage.,0.30407012,The Five Essential Characteristics of Clouds,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Identify steps to manage and secure hypervisor environments.,0.38338494,Virtualization Attacks,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,"Explain how to deploy, configure, and maintain virtual appliances within virtualized environments.",0.44718117,Virtualization Attacks,True
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Determine the process for managing containerized environments.,0.36326802,Security Strategies for Endpoints,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Describe the best practices of storage management in virtualized environments.,0.31735578,Virtualization Attacks,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Develop strategies for ensuring business continuity and resilience in virtualized environments.,0.33389378,Security Strategies for Endpoints,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Analyze potential threats and attacks targeting virtual environments.,0.6295227,"Threats, Attacks, and Countermeasures",True
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Who Should Take This Course: Beginners Experience Required: No prior experience required,0.19031024,Essential Requirements in P&DP Laws,False
0,Security Concepts and Practices,https://www.coursera.org/learn/security-concepts-and-practices,Security Concepts and Practices,0.3953036,Security and Education Training and Awareness Strategy,False
0,Security Concepts and Practices,https://www.coursera.org/learn/security-concepts-and-practices,Course 1 - Security Concepts and Practices,0.41459367,Security and Education Training and Awareness Strategy,True
0,Security Concepts and Practices,https://www.coursera.org/learn/security-concepts-and-practices,This is the first course under the specialization SSCP.,0.12167327,Layered Defense: Crime Prevention Through Environmental Design (CPTED),False
0,Security Concepts and Practices,https://www.coursera.org/learn/security-concepts-and-practices,"In this course, we will focus on the core aspects of security concepts and practice, starting with the importance of codes of ethics.",0.21032506,Professional Ethics,False
0,Security Concepts and Practices,https://www.coursera.org/learn/security-concepts-and-practices,"We will then cover the basic principles of information security and move on to describe security controls, their implementation, maintenance, and assessment.",0.17689656,Security and Education Training and Awareness Strategy,False
0,Security Concepts and Practices,https://www.coursera.org/learn/security-concepts-and-practices,We will also address the identification of corporate assets and the change management life cycle.,0.11609241,"Fire Prevention, Detection, and Suppression",False
0,Security Concepts and Practices,https://www.coursera.org/learn/security-concepts-and-practices,We will then explain the importance of awareness and training and conclude with an exploration of physical security operations.,0.31278926,Security and Education Training and Awareness Strategy,False
0,Security Concepts and Practices,https://www.coursera.org/learn/security-concepts-and-practices,"Course 1 Learning Objectives After completing this course, the participant will be able to: - Recall the ISC2 Code of Ethics.",0.2494341,Professional Ethics,False
0,Security Concepts and Practices,https://www.coursera.org/learn/security-concepts-and-practices,Explain the importance of an organizational code of ethics in the cybersecurity profession.,0.3619635,Professional Ethics,False
0,Security Concepts and Practices,https://www.coursera.org/learn/security-concepts-and-practices,"Compare the security concepts of confidentiality, integrity, and availability.",0.39388192,Confidentiality,False
0,Security Concepts and Practices,https://www.coursera.org/learn/security-concepts-and-practices,Apply accountability in the implementation of certain data protection controls.,0.17552571,Layered Defense: Crime Prevention Through Environmental Design (CPTED),False
0,Security Concepts and Practices,https://www.coursera.org/learn/security-concepts-and-practices,Explain the concept of non-repudiation.,0.06747891,Security and Education Training and Awareness Strategy,False
0,Security Concepts and Practices,https://www.coursera.org/learn/security-concepts-and-practices,Discuss the concept of least privilege.,0.12663463,Privacy,False
0,Security Concepts and Practices,https://www.coursera.org/learn/security-concepts-and-practices,Indicate the importance of segregation of duties.,0.1539204,Layered Defense: Crime Prevention Through Environmental Design (CPTED),False
0,Security Concepts and Practices,https://www.coursera.org/learn/security-concepts-and-practices,"Differentiate technical, physical, and administrative security controls.",0.1548735,"Fire Prevention, Detection, and Suppression",False
0,Security Concepts and Practices,https://www.coursera.org/learn/security-concepts-and-practices,Relate security controls to considerations of assessing compliance requirements and organizational needs.,0.12719622,Integrity,False
0,Security Concepts and Practices,https://www.coursera.org/learn/security-concepts-and-practices,Indicate the importance of periodic audit and review of security controls.,0.13472341,"Fire Prevention, Detection, and Suppression",False
0,Security Concepts and Practices,https://www.coursera.org/learn/security-concepts-and-practices,Categorize various control types or technologies based on their different roles as part of an overall security structure and posture.,0.08310096,Electrical Power,False
0,Security Concepts and Practices,https://www.coursera.org/learn/security-concepts-and-practices,Summarize the security of assets all through the stages of their life cycle.,0.04485944,Security and Education Training and Awareness Strategy,False
0,Security Concepts and Practices,https://www.coursera.org/learn/security-concepts-and-practices,Examine operational requirements of change management.,0.102366656,Integrity,False
0,Security Concepts and Practices,https://www.coursera.org/learn/security-concepts-and-practices,Categorize security education and awareness strategies.,0.68436915,Security and Education Training and Awareness Strategy,True
0,Security Concepts and Practices,https://www.coursera.org/learn/security-concepts-and-practices,Define measurements for gauging the effectiveness of a security education and awareness program.,0.30096215,Security and Education Training and Awareness Strategy,False
0,Security Concepts and Practices,https://www.coursera.org/learn/security-concepts-and-practices,Indicate strategies that security professionals can use to collaborate with physical security operations.,0.11916287,Layered Defense: Crime Prevention Through Environmental Design (CPTED),False
0,Security Concepts and Practices,https://www.coursera.org/learn/security-concepts-and-practices,Who Should Take This Course: Beginners Experience Required: No prior experience required,0.06386393,"Fire Prevention, Detection, and Suppression",False
0, Incident Response and Recovery,https://www.coursera.org/learn/incident-response-and-recovery,Incident Response and Recovery,0.54031193,The Incident Response Team (IRT),True
0, Incident Response and Recovery,https://www.coursera.org/learn/incident-response-and-recovery,Course 4 - Incident Response and Recovery,0.46562305,The Incident Response Team (IRT),True
0, Incident Response and Recovery,https://www.coursera.org/learn/incident-response-and-recovery,"This is the fourth course under the specialization SSCP In this course, we will focus on incident response and recovery.",0.21429577,Incident Analysis,False
0, Incident Response and Recovery,https://www.coursera.org/learn/incident-response-and-recovery,We will explore the incident life cycle as defined by NIST and continue with a deeper look at supporting forensic investigations.,0.38906065,Forensic Investigations,False
0, Incident Response and Recovery,https://www.coursera.org/learn/incident-response-and-recovery,We will also extend these ideas and concepts around the theme of business continuity and disaster recovery.,0.121928945,Incident Analysis,False
0, Incident Response and Recovery,https://www.coursera.org/learn/incident-response-and-recovery,"Course 4 Learning Objectives After completing this course, the participant will be able to: - Identify the elements of an incident response policy and members of the incident response team (IRT).",0.437515,The Incident Response Team (IRT),True
0, Incident Response and Recovery,https://www.coursera.org/learn/incident-response-and-recovery,Evaluate the security professional’s role in supporting forensic investigations.,0.5195196,Forensic Investigations,True
0, Incident Response and Recovery,https://www.coursera.org/learn/incident-response-and-recovery,Explain how the security professional supports activities of business continuity and disaster recovery planning.,0.20816477,The Incident Response Team (IRT),False
0, Incident Response and Recovery,https://www.coursera.org/learn/incident-response-and-recovery,Who Should Take This Course: Beginners Experience Required: No prior experience required,0.11482063,Incident Analysis,False
0,"Risk Identification, Monitoring, and Analysis",https://www.coursera.org/learn/risk-identification-monitoring-and-analysis,"Risk Identification, Monitoring, and Analysis",0.37851852,Risk Tolerance,False
0,"Risk Identification, Monitoring, and Analysis",https://www.coursera.org/learn/risk-identification-monitoring-and-analysis,"Course 3 - Risk Identification, Monitoring and Analysis",0.2916638,Data Sources for Risk Management,False
0,"Risk Identification, Monitoring, and Analysis",https://www.coursera.org/learn/risk-identification-monitoring-and-analysis,"This is the third course under the specialization SSCP In this course, we will explore how to manage the risks related to information systems.",0.20274995,Vulnerability-Testing Software Categories,False
0,"Risk Identification, Monitoring, and Analysis",https://www.coursera.org/learn/risk-identification-monitoring-and-analysis,"It is time to bring these ideas together in a context of continuous maturity modeling, measuring, and monitoring, which we will see is focused on the here and now.",0.11850582,Audits and Audit Planning,False
0,"Risk Identification, Monitoring, and Analysis",https://www.coursera.org/learn/risk-identification-monitoring-and-analysis,"Risk alignment works best at the strategic, long-term level of planning",0.35812223,Data Sources for Risk Management,False
0,"Risk Identification, Monitoring, and Analysis",https://www.coursera.org/learn/risk-identification-monitoring-and-analysis,"risk maturation, by contrast, can be most effective when considered in the day-to-day of business operations.",0.22941811,Data Sources for Risk Management,False
